distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
5;10162;3142;3134;608;977;617;608;608;3142;3140;3142;609;614;608;3134;3142;3142;3135;3134;617;608;617;617;608;617;617;600;3134;3133;3133;3133;3143;3133;30;s11000001110001111100000000111111;
5;10154;3143;3099;618;609;613;609;609;3143;3143;3141;617;618;609;3131;3134;3142;3133;3143;609;616;617;609;617;617;609;599;3134;3144;3133;3142;3136;3134;31;s11000001110001111100000000111111;
5;10163;3142;3133;609;600;609;1791;3134;3134;3134;609;609;617;3142;3134;3133;3129;3134;609;617;608;617;617;609;612;617;3142;3142;3134;3134;3142;3133;1115;32;s11000e1110001111100000000111111e;
5;10163;3142;3142;617;609;1782;608;3134;3142;3133;609;608;609;3143;3139;3142;3142;3134;609;583;608;608;608;617;582;608;3133;3109;3142;3133;3142;3143;1115;33;s1100e01110001111100000000111111e;
5;10171;3134;3142;609;618;617;618;618;3133;3133;3134;608;609;609;3107;3134;3134;3132;3134;609;608;609;617;608;608;617;608;3142;3134;3143;3142;3133;3133;34;s11000001110001111100000000111111;
5;10163;3133;3134;609;609;608;609;609;3142;3134;3134;617;608;609;3133;3134;3142;3134;3134;609;609;609;583;618;609;617;617;3137;3140;3133;3134;3139;3133;35;s11000001110001111100000000111111;
5;10160;3141;3142;608;609;617;608;608;3133;3134;3142;608;583;608;3107;3143;3133;3134;3142;600;609;608;600;609;609;600;608;3142;3125;3137;3142;3134;3138;36;s11000001110001111100000000111111;
5;10163;3142;3133;617;582;608;617;608;3142;3134;3143;609;583;617;3134;3133;3133;3134;3143;618;618;609;609;609;609;600;609;3141;3134;3134;3143;3146;3133;37;s11000001110001111100000000111111;
5;10162;3134;3142;608;617;617;608;617;3133;3133;3134;600;608;609;3143;3143;3134;3134;3134;600;609;609;609;609;608;608;609;3142;3130;3140;3142;3134;3141;38;s11000001110001111100000000111111;
5;10163;3133;3142;608;617;617;608;617;3133;3141;3142;608;608;608;3134;3134;3098;3134;3143;608;600;609;608;600;608;609;608;3134;3108;3134;3141;3134;3134;39;s11000001110001111100000000111111;
5;10157;3126;3134;617;608;609;617;1040;3134;3142;3142;617;617;618;3134;3142;3134;3134;3140;609;608;609;608;608;609;609;608;3143;3134;3142;3134;3134;3132;40;s110000e1110001111100000000111111;
5;10163;3128;3132;617;609;609;617;608;3133;3134;3142;600;608;608;3133;3142;3133;3142;3142;617;609;599;609;573;600;609;608;3142;3134;3142;3142;3134;3133;41;s11000001110001111100000000111111;
5;10164;3137;3134;1154;582;617;617;609;3134;3130;3147;608;600;582;3142;3134;3133;2707;3146;608;599;609;609;608;609;608;608;3134;3142;3108;3142;3133;3143;42;s11e0000111000111e100000000111111;
5;10160;3134;3143;618;618;617;600;608;3134;3134;3134;611;573;617;3133;3133;3133;3143;3134;608;608;608;617;608;608;617;609;3142;3134;3107;3125;3134;3143;43;s11000001110001111100000000111111;
5;10169;3133;3144;609;618;617;609;618;3133;3133;3133;600;608;573;3133;3142;3134;3142;3142;573;599;609;609;608;608;608;609;3142;3133;3134;3143;3134;3143;44;s11000001110001111100000000111111;
5;10154;3143;3134;609;608;609;609;609;3143;3125;3138;608;617;609;3142;3133;3142;3134;3134;608;608;617;609;609;617;608;617;3133;3133;3142;3134;3142;3126;45;s11000001110001111100000000111111;
5;10162;3142;3142;618;617;600;609;609;3143;3141;3134;609;609;609;3146;3133;3133;3141;3134;608;608;609;611;609;617;609;608;3142;3130;3133;3128;3133;3143;46;s11000001110001111100000000111111;
5;10162;3142;3134;609;608;609;609;608;3134;3133;3142;608;617;617;3133;3137;3142;3133;3142;609;617;609;609;617;608;617;617;3134;3142;3142;3133;3133;3134;47;s11000001110001111100000000111111;
5;10162;3134;3134;609;618;609;609;608;3134;3134;3142;617;609;618;3132;3134;3134;3500;3141;609;609;608;608;609;609;607;608;3142;3134;3134;3134;3133;3133;48;s11000001110001111100000000111111;
5;10163;3142;3134;582;608;618;609;609;3108;3134;3134;617;617;609;3134;2914;3134;3134;3142;778;617;608;608;608;609;608;574;3138;3378;3141;3099;3133;3133;49;s11000001110001e11100000000111111;
5;10162;3133;3142;608;618;582;609;608;3142;3134;3134;608;609;609;3142;3133;3134;3135;3134;609;600;608;608;608;608;609;609;3143;3133;3132;3142;3134;3140;50;s11000001110001111100000000111111;
5;10163;3134;3134;609;618;608;608;3146;3142;3137;609;608;609;3142;3142;3134;3133;3134;608;609;609;608;609;609;601;609;3142;3125;3134;3143;3133;3133;1106;51;s1100001110001111100000000111111e;
5;10162;3142;3134;609;608;608;617;608;3142;3133;3142;608;609;582;3134;3134;3142;3134;3142;608;609;617;583;609;617;617;600;3133;3134;3133;3108;3143;3133;52;s11000001110001111100000000111111;
5;10155;3142;3134;617;608;617;609;600;3133;3142;3133;608;608;608;3107;3134;3143;3142;3134;582;607;609;608;609;609;609;618;3137;3134;3143;3116;3134;3133;53;s11000001110001111100000000111111;
5;10158;3142;3133;608;608;616;608;608;3140;3133;3134;617;608;608;3133;3134;3142;3133;3143;609;608;617;609;608;618;617;582;3134;3142;3141;3134;3134;3134;54;s11000001110001111100000000111111;
5;10161;3142;3138;608;574;609;608;609;3142;3131;3133;617;618;582;3137;3133;2462;3134;3142;617;608;609;617;617;609;617;582;3134;3142;3125;3134;3142;3134;55;s110000011100011e1100000000111111;
5;10160;3136;3134;617;617;608;617;617;3134;3142;3134;617;608;600;3134;3142;3134;3143;3142;609;608;600;608;609;601;609;609;3137;3133;3132;3134;3134;3137;56;s11000001110001111100000000111111;
5;10163;3134;3133;617;617;609;617;617;3133;3142;3142;617;608;608;3141;3142;3133;3133;3107;617;617;608;608;608;600;609;609;3134;3116;3134;3133;3142;3134;57;s11000001110001111100000000111111;
5;10167;3142;3142;608;609;609;609;608;3256;3134;3133;617;617;608;3134;3143;3141;3194;3150;608;609;608;608;827;608;608;608;3142;3140;3135;3142;3134;3142;58;s11000001110001111100000000111111;
5;10160;3134;3142;608;617;618;618;600;3134;3127;3134;600;608;609;3142;2685;3108;3142;3134;599;609;608;609;609;608;609;609;3142;3364;3136;3145;3133;3142;59;s11000001110001e11100000000111111;
5;10162;3134;3134;600;608;609;608;608;3143;3133;3136;609;617;608;3142;3134;3143;3142;3133;608;624;608;608;617;608;608;617;3143;3098;3134;3134;3133;3143;60;s11000001110001111100000000111111;
5;10154;3137;3129;609;609;609;609;877;3154;3134;3134;407;609;617;3130;3134;3142;3133;3142;582;608;617;608;608;617;608;617;3133;3133;3142;3134;3140;3133;61;s1100000111e001111100000000111111;
5;10154;3142;3134;608;609;609;617;609;3142;3134;3134;617;609;608;3134;3134;3143;3133;3143;609;608;618;617;608;618;617;608;3134;3142;3142;3143;3134;3134;62;s11000001110001111100000000111111;
5;10160;3142;3133;618;609;608;618;617;3131;3134;3134;600;608;609;3128;3144;3134;3141;3134;609;609;600;609;649;609;608;609;3134;3134;3141;3142;3134;3142;63;s11000001110001111100000000111111;
5;10157;3134;3134;608;609;608;617;609;3142;3134;3138;608;618;617;3134;3143;3133;3134;3134;617;617;608;617;617;608;617;617;3142;3142;3134;3134;3142;3134;64;s11000001110001111100000000111111;
5;10162;3142;3134;608;608;608;608;609;3143;3134;3142;609;608;618;3134;3134;3134;3133;3143;609;617;618;609;591;617;600;609;3142;3134;3133;3133;3142;3133;65;s11000001110001111100000000111111;
5;10157;3134;3134;600;608;609;600;609;3142;3134;3134;609;609;556;3143;3132;3143;3128;3134;609;609;617;608;608;608;617;609;3133;3142;3134;3134;3135;3116;66;s11000001110001111100000000111111;
5;10162;3143;3134;608;609;609;608;609;3141;3134;3145;608;609;617;3134;3134;3146;3134;3143;609;617;1027;617;609;608;574;600;3134;3143;3131;3142;3134;3142;67;s11000001110001111100e00000111111;
5;10168;3135;3142;609;618;617;617;3134;3131;3133;600;609;608;3134;3142;3142;3372;3132;600;609;609;609;609;608;609;617;3134;3280;3133;3141;3134;3134;1106;68;s1100001110001111100000000111111e;
5;10155;3133;3134;617;609;608;583;617;3134;3143;3133;617;608;617;3134;2651;3131;3134;3143;609;617;617;620;618;609;600;609;3134;3644;3146;3134;3107;3144;69;s11000001110001e11100000000111111;
5;10162;3133;3142;608;617;617;599;609;3142;3142;3133;608;609;608;3142;3125;3134;3134;3133;608;608;609;617;608;609;617;608;3134;3134;3134;3099;3134;3142;70;s11000001110001111100000000111111;
5;10162;3134;3134;608;608;609;608;3141;3143;3143;617;609;617;3134;3134;3132;3134;3142;609;617;617;608;600;609;608;608;3134;3145;3134;3133;3134;3134;1115;71;s1100001110001111100000000111111e;
5;10160;3142;3134;609;599;601;608;608;3134;3142;3133;609;608;608;3142;3133;3143;3142;3142;608;609;608;608;617;608;609;617;3099;3134;3134;3134;3142;3142;72;s11000001110001111100000000111111;
5;10171;3134;3133;609;618;617;609;618;3134;3134;3142;617;609;609;3133;3144;3134;3143;3133;618;617;600;608;609;599;609;609;3142;3143;3133;3134;3137;3143;73;s11000001110001111100000000111111;
5;10164;3134;3144;889;583;609;617;618;3142;3134;3134;582;608;608;3133;3143;3107;3142;3133;608;608;608;634;608;608;617;608;3142;3134;3134;3142;3134;3142;74;s11000001110001111100000000111111;
5;10171;3142;3134;608;609;615;609;608;3143;3134;3142;609;608;617;3135;3133;3143;3134;3134;608;617;618;609;617;617;609;617;3134;3134;3099;3134;3142;3125;75;s11000001110001111100000000111111;
5;10159;3133;3134;608;608;609;609;618;3134;3134;3143;608;608;617;3134;3136;3143;3106;3136;608;618;618;609;609;618;618;609;3134;3139;3132;3134;3138;3130;76;s11000001110001111100000000111111;
5;10154;3142;3134;608;617;609;608;618;3134;3134;3134;608;617;618;3133;3143;3134;3134;3134;617;609;608;617;617;608;599;608;3142;3142;3134;3133;3142;3134;77;s11000001110001111100000000111111;
5;10163;3137;3143;609;609;600;200;609;3134;3143;3134;608;609;611;2879;3134;3140;3243;3132;609;609;608;609;609;609;608;617;3125;3132;3133;3134;3134;3142;78;s11000e0111000e111100000000111111;
5;10154;3134;3134;611;608;609;608;617;3134;3134;3143;609;609;680;3134;2330;3134;3134;3134;618;609;609;609;618;618;609;617;3136;6840;3134;3142;3133;1115;79;s11000001110001e1110000000011111e;
5;10152;3143;3133;609;608;609;609;608;3139;3134;3134;608;608;617;3134;3134;3143;3134;3138;582;609;617;608;609;617;617;609;3133;3134;3114;3134;3134;3142;80;s11000001110001111100000000111111;
5;10157;3133;3134;608;617;608;617;1081;3128;3138;3143;609;599;582;3143;3142;3134;3134;3133;600;609;608;609;609;608;609;609;3142;3134;3133;3141;3134;3143;81;s110000e1110001111100000000111111;
5;10154;3133;3133;609;608;599;608;608;3134;3134;3133;608;617;608;3143;3134;3142;3125;3134;617;609;608;617;609;609;617;618;3134;3142;3134;3134;3134;3132;82;s11000001110001111100000000111111;
5;10162;3137;3133;608;617;608;608;609;3142;3133;3133;617;609;617;3141;3134;3142;3134;3143;608;608;608;617;618;609;618;618;3142;3133;3134;3134;3143;3134;83;s11000001110001111100000000111111;
5;10163;3142;3143;617;600;608;608;574;3133;3142;3107;608;609;609;3142;3133;3143;3116;3133;608;609;609;608;609;609;617;609;3134;3142;3142;3099;3133;3143;84;s11000001110001111100000000111111;
5;10161;3138;3134;608;599;608;608;600;3134;3142;3134;617;609;609;3142;3134;3142;3134;3135;617;608;609;617;608;609;618;618;3134;3134;3143;3106;3151;3140;85;s11000001110001111100000000111111;
5;10154;3143;3134;609;608;617;608;609;3143;3133;3142;609;608;617;3143;3133;3134;3134;3142;609;617;617;609;599;609;609;600;3134;3140;3131;3134;3131;3134;86;s11000001110001111100000000111111;
5;10163;3125;3132;608;609;609;582;609;3107;3134;3142;608;617;617;3133;3142;3133;3143;3142;617;608;608;609;600;608;608;608;3133;3134;3134;3143;3134;3134;87;s11000001110001111100000000111111;
5;10163;3143;3134;609;609;607;608;608;2846;3125;3134;617;609;609;3134;3134;3142;3134;3138;608;608;609;609;617;608;608;617;3134;3137;3107;3133;3142;3108;88;s1100000e110001111100000000111111;
5;10162;3143;3134;608;600;609;608;609;3132;3143;3133;609;609;608;3142;3134;3143;3142;3133;609;609;617;608;608;617;608;617;3124;3133;3137;3133;3142;3124;89;s11000001110001111100000000111111;
5;10163;3143;3133;609;609;609;608;609;3145;3133;3141;608;609;617;3134;3134;3142;3136;3112;582;617;609;617;608;617;617;608;3134;3142;3108;3143;3141;3143;90;s11000001110001111100000000111111;
5;10162;3140;3134;609;600;609;609;609;3139;3134;3134;599;609;606;3134;3142;3134;3143;3144;608;609;608;608;608;609;608;608;3133;3133;3134;3142;3133;3137;91;s11000001110001111100000000111111;
5;10172;3134;3143;612;618;618;618;600;3134;3143;3134;609;609;609;3134;3134;3143;3142;3134;608;582;608;608;615;608;609;617;3136;3107;2446;3134;3134;3142;92;s1100000111000111110000000011e111;
5;10174;3133;3318;582;609;617;617;583;3133;3133;3143;617;600;609;3142;3134;3134;3134;3143;609;600;609;609;609;600;609;609;3138;3134;3132;3142;3133;3143;93;s11000001110001111100000000111111;
5;10163;3133;3134;609;617;608;617;617;3134;3142;3142;618;582;583;3133;3133;3134;3142;3115;608;582;617;618;609;609;609;608;3134;3142;3134;3116;3142;3134;94;s11000001110001111100000000111111;
5;10162;3140;3133;617;609;615;582;587;3129;3134;3142;608;617;617;3143;3134;3134;3130;3142;609;609;618;617;608;600;609;609;3134;3142;3134;6854;3140;1107;95;s1100000111000111110000000011111e;
5;10162;3142;3142;617;599;608;608;600;3133;3142;3134;608;609;609;3142;3134;3134;3143;3108;609;609;618;609;609;609;617;609;3133;3137;3143;3134;3143;3134;96;s11000001110001111100000000111111;
5;9341;3134;3142;609;618;617;600;608;3137;3133;3133;608;608;608;3134;3134;3135;3142;3143;608;609;618;608;609;608;608;609;3142;3132;3142;3134;3133;3134;97;111000001110001111100000000111111;
5;10167;3143;3133;608;609;1793;609;3142;3131;3142;609;617;617;3134;3133;3134;3133;3033;608;617;618;608;617;608;609;600;3134;3142;3134;3141;3133;3143;1116;98;s1100e01110001111100000000111111e;
5;10163;3134;3134;617;608;608;617;609;3134;3133;3142;609;617;617;3133;3142;3125;3134;3133;617;617;608;609;608;600;609;608;3142;3143;3133;3134;3132;3134;99;s11000001110001111100000000111111;
